tconst,tag_id
tt0838283,1
tt0838283,2
tt0838283,3
tt1291584,4
tt1291584,5
tt1291584,6
tt0993846,7
tt0993846,8
tt0993846,9
tt0407887,10
tt0106519,11
tt0106519,12
tt0106519,13
tt0071562,11
tt0071562,14
tt0253474,15
tt0253474,16
tt0425210,17
tt0488120,18
tt0488120,19
tt0488120,17
tt0119738,20
tt0119738,21
tt1126590,22
tt2788710,23
tt0816692,24
tt0816692,25
tt0816692,26
tt0113497,27
tt0113497,28
tt0113497,29
tt0112573,30
tt0112573,31
tt0112573,32
tt0112573,33
tt0112573,34
tt0112573,35
tt0112573,36
tt0112573,37
tt0112573,38
tt0106220,39
tt0106220,40
tt0106220,41
tt0106220,42
tt0106220,43
tt0106220,44
tt0099674,11
tt0099674,45
tt0099674,46
tt0099674,47
tt0099674,13
tt0101272,39
tt0101272,40
tt0101272,41
tt0101272,48
tt0101272,44
tt0101272,49
tt0104431,43
tt0104431,1
tt0104431,50
tt0104431,51
tt0120363,52
tt0120363,53
tt0120363,1
tt0120363,54
tt0120363,55
tt0120363,51
tt0120363,56
tt0172495,57
tt0172495,58
tt0172495,59
tt0172495,60
tt0172495,37
tt0172495,61
tt0172495,62
tt0215750,63
tt0215750,64
tt0215750,65
tt0215750,66
tt0215750,67
tt0278504,11
tt0278504,68
tt0278504,69
tt0278504,29
tt0309593,51
tt0309593,70
tt0286716,71
tt0286716,72
tt0286716,73
tt0286716,74
tt0311429,75
tt0311429,76
tt0311429,44
tt0311429,77
tt0311429,78
tt0311429,79
tt0325703,80
tt0325703,81
tt0325703,82
tt0167260,83
tt0167260,84
tt0167260,27
tt0167260,85
tt0167260,86
tt0167260,87
tt0167260,88
tt0167260,89
tt0167260,90
tt0357413,91
tt0357413,92
tt0357413,93
tt0339291,42
tt0339291,94
tt0339291,95
tt0339291,49
tt0339291,89
tt0371246,96
tt0371246,43
tt0371246,97
tt0375912,98
tt0375912,99
tt0375912,100
tt0375912,101
tt0375912,102
tt0375912,103
tt0375912,6
tt0347149,104
tt0347149,85
tt0347149,105
tt0347149,106
tt0320661,107
tt0320661,108
tt0320661,109
tt0320661,110
tt0120667,111
tt0120667,76
tt0120667,82
tt0120667,112
tt0120667,113
tt0120667,79
tt0121164,44
tt0121164,114
tt0121164,115
tt0121164,116
tt0121164,117
tt0373469,39
tt0373469,118
tt0373469,119
tt0373469,120
tt0373469,121
tt0373469,122
tt0382625,80
tt0382625,123
tt0382625,124
tt0382625,125
tt0382625,126
tt0382625,56
tt0382625,127
tt0449467,128
tt0449467,129
tt0449467,130
tt0449467,131
tt0477347,132
tt0477347,29
tt0420223,133
tt0420223,134
tt0420223,135
tt0420223,136
tt0420223,137
tt0420223,93
tt0401445,138
tt0450259,139
tt0450259,140
tt0450259,141
tt0450259,142
tt0450259,8
tt0486576,143
tt0486576,144
tt0486576,145
tt0486576,111
tt0486576,112
tt0486576,146
tt0486576,113
tt0832266,65
tt0832266,147
tt0499448,27
tt0499448,148
tt0499448,149
tt0499448,150
tt0448157,151
tt0448157,152
tt0448157,153
tt0425061,154
tt0425061,92
tt0838283,155
tt0910936,155
tt0910936,156
tt0910936,157
tt0910936,158
tt1099212,159
tt1099212,160
tt1099212,161
tt1099212,162
tt1099212,163
tt0844286,164
tt0844286,165
tt0844286,1
tt0844286,166
tt0844286,167
tt0844286,65
tt1156398,168
tt1156398,42
tt1156398,169
tt1156398,1
tt1156398,170
tt1156398,171
tt1133985,159
tt1133985,172
tt1133985,173
tt1133985,76
tt1133985,174
tt1133985,175
tt1133985,147
tt1133985,176
tt1133985,79
tt1632708,155
tt1632708,1
tt1632708,177
tt1632708,178
tt1632708,179
tt1632708,180
tt1632708,181
tt1632708,136
tt1632708,182
tt1397280,183
tt1397280,109
tt1397280,184
tt1397280,185
tt1397280,186
tt1853728,187
tt1853728,188
tt1853728,1
tt1853728,189
tt1853728,190
tt1853728,191
tt1853728,8
tt1853728,192
tt1853728,193
tt1853728,194
tt1853728,195
tt0770828,196
tt0770828,79
tt1486834,197
tt1486834,198
tt1229340,155
tt1229340,92
tt1229340,199
tt1229340,3
tt1840309,200
tt1840309,201
tt1840309,202
tt1840309,203
tt1840309,204
tt1840309,184
tt1840309,205
tt1840309,206
tt2557490,152
tt2557490,109
tt2557490,207
tt2557490,122
tt1790864,187
tt1790864,202
tt1790864,204
tt1790864,208
tt1790864,209
tt1790864,210
tt1790864,211
tt1790864,212
tt2911666,213
tt2911666,214
tt2911666,215
tt2911666,216
tt2911666,217
tt2911666,103
tt3011894,39
tt3011894,42
tt3011894,218
tt3011894,219
tt3011894,220
tt3011894,221
tt2788710,222
tt2788710,155
tt2788710,1
tt2788710,156
tt2788710,157
tt4154756,76
tt4154756,223
tt4154756,224
tt4154756,225
tt4154756,146
tt4154756,226
tt4154756,121
tt4154756,227
tt4154756,228
tt4154756,229
tt3460252,230
tt3460252,231
tt3460252,232
tt3460252,233
tt3460252,192
tt3460252,193
tt3460252,234
tt3460252,70
tt3460252,235
tt1951266,202
tt1951266,236
tt1951266,237
tt1951266,238
tt1951266,239
tt1951266,240
tt1951266,241
tt2140379,242
tt2140379,243
tt2140379,244
tt2140379,245
tt1386697,246
tt1386697,247
tt1386697,248
tt1386697,249
tt1386697,76
tt1386697,250
tt1386697,189
tt1386697,251
tt1386697,252
tt1386697,253
tt1386697,254
tt1386697,255
tt1386697,256
tt1386697,257
tt1386697,258
tt1386697,259
tt1386697,79
tt1386697,117
tt1386697,153
tt2975590,187
tt2975590,260
tt2975590,261
tt2975590,262
tt2975590,250
tt2975590,263
tt2975590,79
tt2975590,264
tt2975590,265
tt1663202,266
tt1663202,209
tt1663202,267
tt1663202,117
tt3553976,268
tt3553976,269
tt3553976,270
tt3553976,271
tt3553976,272
tt3553976,273
tt4425200,187
tt4425200,213
tt4425200,274
tt4425200,275
tt4425200,215
tt4425200,102
tt4425200,217
tt2283362,276
tt2283362,277
tt2283362,278
tt2283362,1
tt2704998,277
tt2704998,1
tt2704998,279
tt1365519,80
tt1365519,280
tt1365519,281
tt5463162,282
tt5463162,147
tt5463162,283
tt3778644,284
tt3778644,285
tt0076759,286
tt0076759,287
tt0076759,187
tt0076759,25
tt0076759,288
tt0076759,86
tt0110912,120
tt0110912,86
tt0110912,289
tt0241527,290
tt1170358,80
tt0076759,291
tt0076759,292
tt0076759,293
tt0481499,52
tt0481499,1
tt0481499,294
tt2911666,187
tt2911666,295
tt2911666,296
tt2245084,52
tt2245084,297
tt2245084,298
tt2446042,187
tt2446042,299
tt2446042,300
tt0119925,301
tt0119925,302
tt0124198,42
tt0124198,218
tt0120655,303
tt0120655,304
tt0120655,305
tt0120655,306
tt0266308,307
tt0266308,23
tt0266308,308
tt0266308,309
tt0266308,202
tt0266308,310
tt0266308,306
tt0266308,131
tt0266308,209
tt0266308,311
tt0289879,312
tt0289879,25
tt0289879,313
tt0289879,314
tt0387564,308
tt0387564,118
tt0387564,315
tt0387564,316
tt0387564,317
tt0387564,318
tt0387564,319
tt0364517,320
tt0451094,321
tt0808279,218
tt0497465,322
tt1007028,157
tt1007028,323
tt1197628,157
tt1333125,324
tt1333125,325
tt1333125,326
tt1333125,283
tt1333125,306
tt2937696,327
tt1700841,328
tt1700841,317
tt1700841,283
tt1700841,306
tt1700841,329
tt0159097,330
tt0309698,331
tt0309530,332
tt0309530,333
tt0865556,334
tt0865556,335
tt0396555,336
tt0110413,337
tt0110413,338
tt0440963,337
tt0440963,339
tt0440963,340
tt0440963,341
tt0116483,342
tt2245084,343
tt2245084,344
tt2245084,345
tt0154506,346
tt0154506,347
tt0154506,348
tt0154506,317
tt0154506,349
tt0154506,350
tt0120903,187
tt0120903,76
tt0120903,351
tt0120903,74
tt0120903,79
tt0209144,262
tt0209144,352
tt0209144,353
tt0209144,354
tt0209144,17
tt0241527,355
tt0241527,356
tt0241527,357
tt0241527,358
tt0278504,359
tt0278504,360
tt0275277,361
tt0275277,104
tt0275277,25
tt0169858,104
tt0169858,362
tt0169858,31
tt0169858,363
tt0169858,354
tt0076759,364
tt0246578,68
tt0246578,365
tt0246578,366
tt0246578,367
tt0246578,368
tt0246578,137
tt0246578,314
